원천데이터_용도,LTV_광주,LTV_전북
골프장,기타건물,기타건물
공원,기타건물,기타건물
공장,공장(지식산업센터 업무시설),공장
공장용지,공장(지식산업센터 업무시설),공장
과수원,과수원,과수원
관광휴계시설,기타건물,기타건물
관리사,기타건물,기타건물
광업권,기타토지,기타토지
광천지,기타토지,기타토지
근린상가,근린상가,근린상가
근린주택,근린주택,근린주택
기타부동산,기타토지,기타토지
노유자시설,기타건물,노유자시설
다가구,다가구,다가구
다세대,다세대주택,다세대
단독주택,단독,단독주택
답,답,답
대지,나대지,나대지
대형판매시설,기타건물,기타건물
도로,기타토지,기타토지
레져스포츠시설,기타건물,기타건물
목욕시설,기타건물,기타건물
목장용지,기타토지,목장용지
묘지관련시설,기타건물,기타건물
문화집회시설,기타건물,기타건물
분뇨쓰레기처리시설,기타건물,기타건물
빌딩,기타건물,기타건물
사무실,사무실,사무실
숙박시설,숙박시설,숙박시설
시장,기타토지,기타토지
식물관련시설,기타건물,기타건물
아파트,아파트,아파트
아파트상가,아파트상가,근린상가
아파트형공장,공장(지식산업센터 업무시설),공장
양어장,기타건물,기타건물
양어장용지,기타토지,기타토지
어업권,기타토지,기타토지
연구소,사무실,사무실
연립,연립주택,연립·빌라
염전,기타토지,염전
오피스텔,오피스텔,오피스텔(업무용)
오피스텔(상가),근린상가,오피스텔(업무용)
오피스텔(주거),오피스텔,오피스텔(업무용)
위락시설,기타건물,기타건물
유원지,기타토지,기타토지
유지,기타토지,기타토지
의료시설,병원,병원
임야,임야,임야
자동차시설,기타건물,기타건물
잡종지,잡종지,잡종지
장례식장,기타토지,기타토지
전,전,전
점포,근린상가,점포상가
제방,기타토지,기타토지
종교시설,기타건물,기타건물
종교용지,기타건물,기타건물
주상복합(상가),기타토지,기타토지
주상복합(주거),기타토지,기타토지
주유소,기타건물,주유소
주유소용지,기타토지,주유소
주차장용지,기타토지,주차장용지
창고,기타건물,창고
창고용지,기타건물,창고
철도용지,기타토지,기타토지
체육용지,기타토지,기타토지
축사,기타토지,기타토지
콘도,기타토지,기타토지
하천,기타토지,기타토지
학교용지,기타토지,기타토지
